ce,ganguli,subparva,similarity,note,first_words_ganguli
1.1,1.1,,0.50,,"Om! Having bowed down to Narayana and Nara, the most exalted male bein"
1.2,1.2,,0.51,,"""The Rishis said, 'O son of Suta, we wish to hear a full and circumsta"
1.3,1.3,Paushya Parva,0.31,,"Sauti said, ""Janamejaya, the son of Parikshit, was, with his brothers,"
1.4,1.4,Pauloma Parva,0.45,,"'UGRASRAVA SAUTI, the son of Lomaharshana, versed in the Puranas, whil"
1.5,1.5,Pauloma Parva,0.47,,"""Saunaka said, 'Child, thy father formerly read the whole of the Puran"
1.6,1.6,Pauloma Parva,0.35,,"""Sauti said, 'O Brahmana, having heard these words from the god of fir"
1.7,1.7,Pauloma Parva,0.34,,"""Sauti said, 'the god of fire enraged at the curse of Bhrigu, thus add"
1.8,1.8,Pauloma Parva,0.69,,"""Sauti said, 'O Brahmana, Chyavana, the son of Bhrigu, begot a son in "
1.9,1.9,Pauloma Parva,0.63,,"""Sauti said, 'While those illustrious Brahmanas were sitting around th"
1.10,1.10,Pauloma Parva,0.66,,"Sauti said, 'And Ruru, on hearing those words, replied, 'My wife, dear"
1.11,1.11,Pauloma Parva,0.32,,"""Sauti continued 'The Dundubha then said, 'In former times, I had a fr"
1.12,1.12,Pauloma Parva,0.26,,"""Sauti continued, 'Ruru then asked, 'O best of Dwijas, why was king Ja"
1.13,1.13;1.14;1.15,Astika Parva,0.48,,"""Saunaka said, 'For what reason did that tiger among kings, the royal "
1.14,1.16,Astika Parva,0.57,,"""Saunaka said, 'O Sauti, relate once more in detail this history of th"
1.15,1.17,Astika Parva,0.17,,"""Sauti said, 'O ascetic, about this time the two sisters saw approachi"
1.16,1.18,Astika Parva,0.40,,"""Sauti said, 'There is a mountain called Mandara adorned with cloud-li"
1.17,1.19,Astika Parva,0.43,,"""Sauti said, 'Then the Daityas and the Danauas equipped with first-cla"
1.18,1.20,Astika Parva,0.42,,"""Sauti said, 'Thus have I recited to you the whole story of how Amrita"
1.19,1.21,Astika Parva,0.21,,"""Sauti said. 'Then when the night had passed away and the sun had rise"
1.20,1.22;1.23,Astika Parva,0.31,,"""Sauti said, 'The Nagas after consultation arrived at the conclusion t"
1.21,1.24;1.25,Astika Parva,0.41,,"""Sauti said, 'Then hearing of and beholding his own body, that bird of"
1.22,1.26,Astika Parva,0.02,,"""Sauti said, 'And then Indra, the king of gods, having the best of hor"
1.23,1.27,Astika Parva,0.31,,"""Sauti said, 'And then the Nagas drenched by that shower, became excee"
1.24,1.28,Astika Parva,0.49,,"""Sauti said, 'Garuda, thus addressed by the snakes, then said unto his"
1.25,1.29,Astika Parva,0.26,,"""Sauti continued, 'A certain Brahmana with his wife had entered the th"
1.26,1.30,Astika Parva,0.41,,"""Sauti said, 'At the very touch by Garuda of great might with his feet"
1.27,1.31,Astika Parva,0.60,,"""Saunaka said, 'O son of Suta, what was Indra's fault, what his act of"
1.28,1.32,Astika Parva,0.31,,"""Sauti said, 'O foremost of Brahmanas, the gods having prepared for ba"
1.29,1.33,Astika Parva,0.52,,"""Santi said, 'And that bird, assuming a golden body bright as the rays"
1.30,1.34,Astika Parva,0.45,,"'Sauti continued, 'Garuda then said, 'O Purandara, let there be friend"
1.31,1.35,Astika Parva,0.49,,"""Saunaka said, 'O son of Suta, thou hast told us the reason why the sn"
1.32,1.36,Astika Parva,0.40,,"""Saunaka said, 'O child, thou hast named many of the serpents gifted w"
1.33,1.37,Astika Parva,0.17,,"""Sauti said, 'That best of snakes, viz., Vasuki, hearing the curse of "
1.34,1.38,Astika Parva,0.45,,"""Sauti said, 'Hearing the respective speeches of all the snakes, and h"
1.35,1.39,Astika Parva,0.53,,"""Sauti said, 'O best of regenerate ones, hearing these words of Elapat"
1.36,1.40,Astika Parva,0.37,,"""Saunaka said, 'O son of Suta, I desire to know the reason why the ill"
1.37,1.41,Astika Parva,0.54,,"""Sauti said, 'Being thus addressed, and hearing that his sire was bear"
1.38,1.42,Astika Parva,0.40,,"""Sauti said, 'And Sringin then replied to his father, saying, 'Whether"
1.39,1.43,Astika Parva,0.40,,"""Sauti said, 'And Takshaka, after this, answered, 'If, indeed, thou ar"
1.40,1.44,Astika Parva,0.65,,"""Sauti said, 'Then the councillors beholding the king in the coils of "
1.41,1.45,Astika Parva,0.26,,"""Meanwhile the great ascetic Jaratkaru wandered over the whole earth m"
1.42,1.46,Astika Parva,0.44,,"""Sauti said. 'Jaratkaru, hearing all this, became excessively dejected"
1.43,1.47,Astika Parva,0.39,,"""Sauti said, 'Then Vasuki spake unto the Rishi Jaratkaru these words, "
1.44,1.48,Astika Parva,0.32,,"""Sauti said, 'O thou of ascetic wealth, soon after her lord had left h"
1.45,1.49,Astika Parva,0.37,,"""Saunaka said, 'Tell me again, in detail,--all that king Janamejaya ha"
1.46,1.50;1.51,Astika Parva,0.36,,"'Sauti continued, 'The ministers said, 'That king of kings then, spent"
